[springmvc_hibernate_demo][INFO] [2017-10-23 14:21:38] org.springframework.test.context.support.AbstractTestContextBootstrapper.getDefaultTestExecutionListenerClassNames(259) | Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
  [springmvc_hibernate_demo][INFO] [2017-10-23 14:21:38] org.springframework.test.context.support.AbstractTestContextBootstrapper.getTestExecutionListeners(185) | Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@475530b9, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@1d057a39, org.springframework.test.context.support.DependencyInjectionTestExecutionListener@26be92ad, org.springframework.test.context.support.DirtiesContextTestExecutionListener@4c70fda8, org.springframework.test.context.transaction.TransactionalTestExecutionListener@224edc67, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@14acaea5]
  [springmvc_hibernate_demo][INFO] [2017-10-23 14:21:38] org.springframework.beans.factory.xml.XmlBeanDefinitionReader.loadBeanDefinitions(317) | Loading XML bean definitions from class path resource [applicationContext.xml]
  [springmvc_hibernate_demo][INFO] [2017-10-23 14:21:38] org.springframework.context.support.AbstractApplicationContext.prepareRefresh(574) | Refreshing org.springframework.context.support.GenericApplicationContext@4566e5bd: startup date [Mon Oct 23 14:21:38 CST 2017]; root of context hierarchy
  [springmvc_hibernate_demo][INFO] [2017-10-23 14:21:39] org.springframework.core.io.support.PropertiesLoaderSupport.loadProperties(172) | Loading properties file from class path resource [jdbc.properties]
  [springmvc_hibernate_demo][INFO] [2017-10-23 14:21:39] org.hibernate.Version.logVersion(37) | HHH000412: Hibernate Core {5.1.3.Final}
  [springmvc_hibernate_demo][INFO] [2017-10-23 14:21:39] org.hibernate.cfg.Environment.<clinit>(213) | HHH000206: hibernate.properties not found
  [springmvc_hibernate_demo][INFO] [2017-10-23 14:21:39] org.hibernate.cfg.Environment.buildBytecodeProvider(317) | HHH000021: Bytecode provider name : javassist
  [springmvc_hibernate_demo][INFO] [2017-10-23 14:21:39] org.hibernate.annotations.common.reflection.java.JavaReflectionManager.<clinit>(66) | HCANN000001: Hibernate Commons Annotations {5.0.1.Final}
  [springmvc_hibernate_demo][INFO] [2017-10-23 14:21:39] org.hibernate.dialect.Dialect.<init>(156) | HHH000400: Using dialect: org.hibernate.dialect.MySQL5Dialect
  [springmvc_hibernate_demo][INFO] [2017-10-23 14:21:40] org.hibernate.cache.spi.UpdateTimestampsCache.<init>(55) | HHH000250: Starting update timestamps cache at region: org.hibernate.cache.spi.UpdateTimestampsCache
  [springmvc_hibernate_demo][WARN] [2017-10-23 14:21:40] org.hibernate.cache.ehcache.AbstractEhcacheRegionFactory.getCache(160) | HHH020003: Could not find a specific ehcache configuration for cache named [org.hibernate.cache.spi.UpdateTimestampsCache]; using defaults.
  [springmvc_hibernate_demo][INFO] [2017-10-23 14:21:40] org.hibernate.cache.internal.StandardQueryCache.<init>(74) | HHH000248: Starting query cache at region: org.hibernate.cache.internal.StandardQueryCache
  [springmvc_hibernate_demo][WARN] [2017-10-23 14:21:40] org.hibernate.cache.ehcache.AbstractEhcacheRegionFactory.getCache(160) | HHH020003: Could not find a specific ehcache configuration for cache named [org.hibernate.cache.internal.StandardQueryCache]; using defaults.
